link user,user,waktu posting,komen,likes
https://www.instagram.com/giriconk/,giriconk,1h,Dulpas ah..,Reply
https://www.instagram.com/listionowardoyo/,listionowardoyo,1h,🤣🤣🤣,Reply
https://www.instagram.com/rakyatbiasa5175/,rakyatbiasa5175,1h,SEMOGA KAU KEKAL DALAM NERAKA JAHANAM,Reply
https://www.instagram.com/agus.firmansyahhh/,agus.firmansyahhh,1h,Gemesin anj🤏👊,Reply
https://www.instagram.com/agh._.nia/,agh._.nia,1h,"Kabarnya di twitter di aceh tamiang jumlah mayat yg terkumpul 1 truk, sebaiknya bapak mulai memanggul satu per satu mayat tsb😢😢😢",Reply
https://www.instagram.com/bryan_nrmgdv/,bryan_nrmgdv,1h,"Kamera “Manggul beras,tolong dicatat ya namanya,15 rumah ini tolong pak wali” sippp pak",Reply
https://www.instagram.com/hakiimkim_/,hakiimkim_,1h,LUCU BADUT😂,Reply
https://www.instagram.com/ameliahdt/,ameliahdt,1h,Diem kt gue,Reply
https://www.instagram.com/widianurmal/,widianurmal,1h,Pretttt,Reply
https://www.instagram.com/u2s0482/,u2s0482,1h,Camera roll... Action... 🎬📽️💩💩💩🤮🤮🤮,Reply
https://www.instagram.com/renaldysany/,renaldysany,1h,QNTL,Reply
https://www.instagram.com/mariaoliviasoi88/,mariaoliviasoi88,1h,Iyuuuuh,Reply
https://www.instagram.com/dian_dst/,dian_dst,1h,Dih,Reply
https://www.instagram.com/zf.zafira/,zf.zafira,1h,Bukan 1 2 org dsna paaaak..,Reply
https://www.instagram.com/aiyu1215/,aiyu1215,1h,Jijik gak kalian?,Reply
https://www.instagram.com/nkmhdyt_/,nkmhdyt_,1h,Preeeettttt,Reply
https://www.instagram.com/alryuzaki_/,alryuzaki_,1h,Ngapain lu manggul beras sendirian. Biar apaa??,Reply
https://www.instagram.com/annisa.arditi/,annisa.arditi,1h,🤓,Reply
https://www.instagram.com/nurulip_/,nurulip_,1h,GAK BGTTT,Reply
https://www.instagram.com/puji77046/,puji77046,1h,Bapak ini menyangka netizen dan rakyatnya masih bodoh seperti jamannya soehart*Bapak  lupa netizen dan rakyat indonesia yang sekarang cerdasnya diatas rata rata sudah tidak bisa ditipu dengan acting murah seperti ini..Bapak gak malu saat memerankan acting ini?Kami rakyat infonesia yang nonton aja malu pak..,Reply
https://www.instagram.com/j.a.gani/,j.a.gani,1h,"Menjijikan, memalukan dan cuiiiihhhhhh",Reply
https://www.instagram.com/meriska_lie/,meriska_lie,1h,🤮🤮🤮🤮 stop cari mukaa,Reply
https://www.instagram.com/ibnualfazrie_/,ibnualfazrie_,1h,🤮,Reply
https://www.instagram.com/rudi_ibnumansur/,rudi_ibnumansur,1h,"Pak, baca komennya dong..😂",Reply
https://www.instagram.com/wchaerudin_id/,wchaerudin_id,59m,"Kurang natural, kurang bagus actingnya",Reply
https://www.instagram.com/setyorahman_/,setyorahman_,59m,Murahan banget aktingnya🖕🏼,Reply
https://www.instagram.com/bang_jack148/,bang_jack148,59m,Bapak cuman ngrecokin ajah... 😂,Reply
https://www.instagram.com/s.nuhya/,s.nuhya,59m,keliatan bgt tulus pencitraanya 😭,Reply
https://www.instagram.com/renianggriani88/,renianggriani88,59m,💩💩💩🦮🦮🦮👎👎👎👎👎,Reply
https://www.instagram.com/esa_isrohaini/,esa_isrohaini,58m,Sempat sempat nya bikin konten pak. Puas ya pak liat rakyat menderita gara2 kebijakan yg bapak tanda tangani,Reply
